年份,月份,品种,样本数,月均价_元斤,月均价_元公斤,最低_元斤,最高_元斤,口径
2025,10,鳜鱼,22,45.84,91.68,39.0,55.0,北京新发地批发价(元/斤)
2025,10,鲈鱼,44,19.9,39.8,17.5,24.5,北京新发地批发价(元/斤)
2025,11,鳜鱼,21,32.57,65.14,30.0,37.0,北京新发地批发价(元/斤)
2025,11,鲈鱼,42,17.8,35.6,16.5,18.5,北京新发地批发价(元/斤)
2025,12,鳜鱼,23,30.0,60.0,30.0,30.0,北京新发地批发价(元/斤)
2025,12,鲈鱼,46,17.09,34.17,15.5,18.5,北京新发地批发价(元/斤)
2026,1,鳜鱼,22,31.14,62.27,30.0,35.0,北京新发地批发价(元/斤)
2026,1,鲈鱼,44,17.0,34.0,15.5,18.5,北京新发地批发价(元/斤)
2026,2,鳜鱼,16,34.12,68.25,30.0,35.0,北京新发地批发价(元/斤)
2026,2,鲈鱼,32,17.25,34.5,15.5,19.5,北京新发地批发价(元/斤)
2026,3,鳜鱼,22,29.57,59.14,29.0,30.0,北京新发地批发价(元/斤)
2026,3,鲈鱼,44,17.3,34.59,14.75,19.5,北京新发地批发价(元/斤)
2026,4,鳜鱼,22,31.59,63.18,29.5,37.5,北京新发地批发价(元/斤)
2026,4,鲈鱼,44,17.02,34.05,14.5,19.5,北京新发地批发价(元/斤)
2026,5,鳜鱼,22,34.68,69.36,34.0,35.5,北京新发地批发价(元/斤)
2026,5,鲈鱼,44,16.59,33.18,16.5,17.0,北京新发地批发价(元/斤)
2026,6,鳜鱼,22,38.14,76.27,34.0,40.0,北京新发地批发价(元/斤)
2026,6,鲈鱼,44,17.47,34.94,16.5,19.0,北京新发地批发价(元/斤)
2026,7,鳜鱼,23,37.98,75.96,37.0,42.5,北京新发地批发价(元/斤)
2026,7,鲈鱼,46,16.9,33.79,15.5,18.0,北京新发地批发价(元/斤)
2026,8,鳜鱼,19,53.95,107.89,49.0,64.0,北京新发地批发价(元/斤)
2026,8,鲈鱼,38,16.47,32.95,15.5,18.5,北京新发地批发价(元/斤)
