品种,品种编码,日期,市场,批发价_元公斤,是否江苏周边
淡水鲈鱼,AM01009,2026-08-18,云南华潮实业有限公司,35,False
鲈鱼(海水),AM02005,2026-08-18,宁夏四季鲜农产品综合批发市场,38,False
鲈鱼(海水),AM02005,2026-08-18,龙门实业（集团）有限公司西三街农副水产品市场,40,False
鲈鱼(海水),AM02005,2026-08-18,北京朝阳区大洋路综合市场,31,False
鲈鱼(海水),AM02005,2026-08-18,青岛市城阳蔬菜水产品批发市场有限公司,36,False
鲈鱼(海水),AM02005,2026-08-18,山东滨州(六街）鲁北蔬菜批发市场,26,False
鲈鱼(海水),AM02005,2026-08-18,山东威海水产品批发市场,40,False
鲈鱼(海水),AM02005,2026-08-18,安徽合肥周谷堆农产品批发市场,22.5,True
鲈鱼(海水),AM02005,2026-08-18,江苏凌家塘市场发展有限公司,27,True
鲈鱼(海水),AM02005,2026-08-18,江苏苏州南环桥农副产品批发市场,23.5,True
鲈鱼(海水),AM02005,2026-08-18,河南万邦国际农产品物流股份有限公司,29,False
鲈鱼(海水),AM02005,2026-08-18,甘肃酒泉春光农产品市场有限责任公司,59,False
淡水鲈鱼,AM01009,2026-08-28,长治市紫坊农产品综合交易市场有限公司,31,False
淡水鲈鱼,AM01009,2026-08-28,马鞍山市安民农副产品贸易有限公司,21,True
鲈鱼(海水),AM02005,2026-08-28,龙门实业（集团）有限公司西三街农副水产品市场,43,False
鲈鱼(海水),AM02005,2026-08-28,北京朝阳区大洋路综合市场,31,False
鲈鱼(海水),AM02005,2026-08-28,青岛市城阳蔬菜水产品批发市场有限公司,36,False
鲈鱼(海水),AM02005,2026-08-28,山东威海水产品批发市场,40,False
鲈鱼(海水),AM02005,2026-08-28,江苏苏州南环桥农副产品批发市场,23.5,True
鲈鱼(海水),AM02005,2026-08-28,河南万邦国际农产品物流股份有限公司,29,False
